S/N,Agency,Identified Component,Identified parameters,Suggested Revit Representation,Suggested Archicad Representation,Suggested Tekla Structures Representation,Suggested Bentley OpenBuildings Representation,Suggested Discipline,"IFC4
 Entities","IFC Sub Types
(* = USERDEFINED)",Property Set,Property Name,Property Type,Property Unit,"IFC4
Material Set","Accepted Values 
(for parameters with Input Limitations)","Sample Value for Reference
(for parameters without Input Limitations)",,,,,
624,NPARKS,Site Boundary,Vacant Land,Toposolid,Mesh,N.A,Mesh,ARC,IfcGeographicElement,*SITEBOUNDARY,SGPset_GeographicElement,VacantLand,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcGeographicElementSITEBOUNDARY,okay,GeographicElement,GeographicElement,okay
625,URA,Site Coverage,N.A,Specialty Equipment,Object,N.A,Object,ARC,IfcBuildingElementProxy,*SITECOVERAGE,SGPset_BuildingElementProxy,N.A,N.A,N.A,N.A,N.A,N.A,IfcBuildingElementProxySITECOVERAGE,okay,BuildingElementProxy,BuildingElementProxy,okay
626,BCA,Slab,N.A,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,N.A,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcSlabN.A,skip,Slab,#N/A,#N/A
627,BCA,Slab,N.A,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,FLOOR,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcSlabFLOOR,check,Slab,#N/A,#N/A
628,BCA,Slab,N.A,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,LANDING,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcSlabLANDING,check,Slab,#N/A,#N/A
629,BCA,Slab,Accreditation MAS,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,"N.A, FLOOR, LANDING",SGPset_Slab,Accreditation_MAS,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcSlabN.A, FLOOR, LANDING",skip,Slab,Slab,okay
630,BCA,Slab,Bottom Distribution Nominal,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,"N.A, FLOOR, LANDING",SGPset_SlabReinforcement,BottomDistribution_nominal,Label,N.A,N.A,N.A,H25-150+H16-300,"IfcSlabN.A, FLOOR, LANDING",skip,Slab,Slab,okay
631,BCA,Slab,Bottom Main Nominal,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,"N.A, FLOOR, LANDING",SGPset_SlabReinforcement,BottomMain_nominal,Label,N.A,N.A,N.A,H25-150+H16-300,"IfcSlabN.A, FLOOR, LANDING",skip,Slab,Slab,okay
632,BCA,Slab,Construction Method,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,"N.A, FLOOR, LANDING",SGPset_Slab,ConstructionMethod,Label,N.A,N.A,"CIS, PC, PT (Pre), PT (Post), PF, PPVC, Spun",N.A,"IfcSlabN.A, FLOOR, LANDING",skip,Slab,Slab,okay
633,BCA,Slab,Lattice Girder Reinforcement,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,"N.A, FLOOR, LANDING",SGPset_Slab,LatticeGirderReinforcement,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcSlabN.A, FLOOR, LANDING",skip,Slab,Slab,okay
634,BCA,Slab,Load Bearing,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,"N.A, FLOOR, LANDING",SGPset_Slab,LoadBearing,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcSlabN.A, FLOOR, LANDING",skip,Slab,Slab,okay
635,BCA,Slab,Mark,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,"N.A, FLOOR, LANDING",SGPset_SlabDimension,Mark,Label,N.A,N.A,N.A,"S1, S01, PS01","IfcSlabN.A, FLOOR, LANDING",skip,Slab,Slab,okay
636,BCA,Slab,Material Grade,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,"N.A, FLOOR, LANDING",SGPset_Material,MaterialGrade,Label,N.A,Name,"C12/15, C20/25, C30/37, C32/40, C35/45, C40/50, C50/60, C55/67, C60/75, C70/85, C80/95, S235, S275, S355, S460",N.A,"IfcSlabN.A, FLOOR, LANDING",skip,Slab,Mate,check
637,BCA,Slab,Mechanical Connection Type,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,"N.A, FLOOR, LANDING",SGPset_Slab,MechanicalConnectionType,Label,N.A,N.A,N.A,N.A,"IfcSlabN.A, FLOOR, LANDING",skip,Slab,Slab,okay
638,BCA,Slab,ReferTo2DDetail,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,"N.A, FLOOR, LANDING",SGPset_Slab,ReferTo2DDetail,Label,N.A,N.A,N.A,Dwg Number,"IfcSlabN.A, FLOOR, LANDING",skip,Slab,Slab,okay
639,BCA,Slab,Reinforcement Steel Grade,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,"N.A, FLOOR, LANDING",SGPset_Slab,ReinforcementSteelGrade,Label,N.A,N.A,"500A, 500B, 500C, 600A, 600B, 600C",N.A,"IfcSlabN.A, FLOOR, LANDING",skip,Slab,Slab,okay
640,BCA,Slab,Shelter Usage,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,"N.A, FLOOR, LANDING",SGPset_Slab,ShelterUsage,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcSlabN.A, FLOOR, LANDING",skip,Slab,Slab,okay
641,BCA,Slab,Slab Type,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,"N.A, FLOOR, LANDING",SGPset_Slab,SlabType,Label,N.A,N.A,"One way, Two way, Cantilever, Flat slab, Flat slab with drop panel, Transfer slab",N.A,"IfcSlabN.A, FLOOR, LANDING",skip,Slab,Slab,okay
642,BCA,Slab,Stirrups,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,"N.A, FLOOR, LANDING",SGPset_SlabReinforcement,Stirrups,Label,N.A,N.A,N.A,1H10-150-300,"IfcSlabN.A, FLOOR, LANDING",skip,Slab,Slab,okay
643,BCA,Slab,Stirrups Type,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,"N.A, FLOOR, LANDING",SGPset_SlabReinforcement,StirrupsType,Label,N.A,N.A,"Normal, U, C, CL, Torsion",N.A,"IfcSlabN.A, FLOOR, LANDING",skip,Slab,Slab,okay
644,BCA,Slab,Thickness,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,"N.A, FLOOR, LANDING",SGPset_SlabDimension,Thickness,Length,mm,N.A,N.A,300,"IfcSlabN.A, FLOOR, LANDING",skip,Slab,Slab,okay
645,BCA,Slab,Top Distribution nominal,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,"N.A, FLOOR, LANDING",SGPset_SlabReinforcement,TopDistribution_nominal,Label,N.A,N.A,N.A,H25-150+H16-300,"IfcSlabN.A, FLOOR, LANDING",skip,Slab,Slab,okay
646,BCA,Slab,Top Main Nominal,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,"N.A, FLOOR, LANDING",SGPset_SlabReinforcement,TopMain_nominal,Label,N.A,N.A,N.A,H32-150+H20-300,"IfcSlabN.A, FLOOR, LANDING",skip,Slab,Slab,okay
647,BCA,Slab,Type Designator,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,"N.A, FLOOR, LANDING",SGPset_Slab,TypeDesignator,Label,N.A,N.A,N.A,N.A,"IfcSlabN.A, FLOOR, LANDING",skip,Slab,Slab,okay
648,BCA,Slab,Welded Mesh,Floors,Slab,Slab,Slab,STR,IfcSlab,"N.A, FLOOR, LANDING",SGPset_SlabReinforcement,WeldedMesh,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcSlabN.A, FLOOR, LANDING",skip,Slab,Slab,okay
649,SCDF,Soffit,Fire Rating,Roofs,Roof,N.A,Roof,ARC,IfcCovering,*SOFFIT,Pset_CoveringCommon,FireRating,Label,hr,N.A,"0.5, 1, 1.5, 2, 2.5, 3, 3.5, 4",N.A,IfcCoveringSOFFIT,okay,Covering,Covering,okay
650,URA,Space (Area),AGF_DevelopmentUse,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_GFA,AGF_DevelopmentUse,Label,N.A,N.A,Refer to Space Values sheet,N.A,IfcSpaceAREA_GFA,okay,Space,Space,okay
651,URA,Space (Area),AGF_Name,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_GFA,AGF_Name,Label,N.A,N.A,Refer to Space Values sheet,N.A,IfcSpaceAREA_GFA,okay,Space,Space,okay
652,URA,Space (Area),AGF_UnitNumber,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_GFA,AGF_UnitNumber,Label,N.A,N.A,N.A,"B3-01a, B2M-120D, B1M-05A, 01-03A, 01-03b, 10-04ab",IfcSpaceAREA_GFA,okay,Space,Space,okay
653,URA,Space (Area),AGF_BonusGFAType,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_GFA,AGF_BonusGFAType,Label,N.A,N.A,Refer to Space Values sheet,N.A,IfcSpaceAREA_GFA,okay,Space,Space,okay
654,URA,Space (Area),AGF_Note,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_GFA,AGF_Note,Label,N.A,N.A,N.A,N.A,IfcSpaceAREA_GFA,okay,Space,Space,okay
655,URA,Space (Area),AGF_UseQuantum,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_GFA,AGF_UseQuantum,Label,N.A,N.A,"Predominant, Ancillary",N.A,IfcSpaceAREA_GFA,okay,Space,Space,okay
656,URA,Space (Area),AGF_BuildingTypology,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_GFA,AGF_BuildingTypology,Label,N.A,N.A,Refer to Space Values sheet,N.A,IfcSpaceAREA_GFA,okay,Space,Space,okay
657,URA,Space (Area),AGF_SupportingFacility,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_GFA,AGF_SupportingFacility,Label,N.A,N.A,Refer to Space Values sheet,N.A,IfcSpaceAREA_GFA,okay,Space,Space,okay
658,URA,Space (Area),AST_AreaType,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_Strata,AST_AreaType,Label,N.A,N.A,Refer to Space Values sheet,N.A,IfcSpaceAREA_GFA,okay,Space,Space,okay
659,URA,Space (Area),AST_LegalArea,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_Strata,AST_LegalArea,Integer,N.A,N.A,N.A,"101.01, 99.23",IfcSpaceAREA_GFA,okay,Space,Space,okay
660,URA,Space (Area),AST_Prop_StrataLotNumber,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_Strata,AST_Prop_StrataLotNumber,Label,N.A,N.A,N.A,MK02-U017049L,IfcSpaceAREA_GFA,okay,Space,Space,okay
661,URA,Space (Area),AST_Extg_StrataLotNumber,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_Strata,AST_Extg_StrataLotNumber,Label,N.A,N.A,N.A,MK02-U017646Z,IfcSpaceAREA_GFA,okay,Space,Space,okay
662,URA,Space (Area),ACN_ConnectivityType,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_Connectivity,ACN_ConnectivityType,Label,N.A,N.A,"Open Walkway, Covered Walkway, Covered Linkway, Through Block Link, Elevated Pedestrian Link, Underground Pedestrian Link, Public Space Node, Cycling Path, Sky Bridge",N.A,IfcSpaceAREA_GFA,okay,Space,Space,okay
663,URA,Space (Area),ACN_ActivityGeneratingUseType,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_Connectivity,ACN_ActivityGeneratingUseType,Label,N.A,N.A,"Single Side, Double Side",N.A,IfcSpaceAREA_GFA,okay,Space,Space,okay
664,URA,Space (Area),ACN_IsPavingSpecified,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_Connectivity,ACN_IsPavingSpecified,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcSpaceAREA_GFA,okay,Space,Space,okay
665,URA,Space (Area),ACN_PavingSpecification,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_Connectivity,ACN_PavingSpecification,Label,N.A,N.A,N.A,<UDAREA> PavingSpecification,IfcSpaceAREA_GFA,okay,Space,Space,okay
666,URA,Space (Area),ACN_IsOpen24HoursToPublic,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_Connectivity,ACN_IsOpen24HoursToPublic,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcSpaceAREA_GFA,okay,Space,Space,okay
667,URA,Space (Area),ACN_OpenTime,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_Connectivity,ACN_OpenTime,Label,N.A,N.A,N.A,0.999988426,IfcSpaceAREA_GFA,okay,Space,Space,okay
668,URA,Space (Area),ACN_CloseTime,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_Connectivity,ACN_CloseTime,Label,N.A,N.A,N.A,0.999988426,IfcSpaceAREA_GFA,okay,Space,Space,okay
669,URA,Space (Area),ALS_LandscapeType,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_Landscape,ALS_LandscapeType,Label,N.A,N.A,Refer to Space Values sheet,N.A,IfcSpaceAREA_GFA,okay,Space,Space,okay
670,URA,Space (Area),ALS_GreeneryFeatures,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_Landscape,ALS_GreeneryFeatures,Label,N.A,N.A,Refer to Space Values sheet,N.A,IfcSpaceAREA_GFA,okay,Space,Space,okay
671,URA,Space (Area),ALS_Species,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_Landscape,ALS_Species,Label,N.A,N.A,N.A,"Ophiopogon jaburan, Codiaeum variegatum, Dracaena marginata, Murraya paniculata",IfcSpaceAREA_GFA,okay,Space,Space,okay
672,URA,Space (Area),AVF_IncludeAsGFA,Areas,Zone,N.A,Space,ARC,IfcSpace,*AREA_GFA,SGPset_SpaceArea_Verification,AVF_IncludeAsGFA,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcSpaceAREA_GFA,okay,Space,Space,okay
673,All,Space (Usage),Accreditation MAS,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,Accreditation_MAS,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcSpaceSPACE,check,Space,Space,okay
674,All,Space (Usage),Ambulant Disabled,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,AmbulantDisabled,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcSpaceSPACE,check,Space,Space,okay
675,All,Space (Usage),Area,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_SpaceDimension,Area,Area,m2,N.A,N.A,N.A,IfcSpaceSPACE,check,Space,Space,okay
676,All,Space (Usage),Barrier Free Accessibility,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,BarrierFreeAccessibility,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcSpaceSPACE,check,Space,Space,okay
677,All,Space (Usage),Children Friendly,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,ChildrenFriendly,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcSpaceSPACE,check,Space,Space,okay
678,All,Space (Usage),C Value,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,CValue,Label,N.A,N.A,N.A,0.45 - 1,IfcSpaceSPACE,check,Space,Space,okay
679,All,Space (Usage),Elderly Friendly,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,ElderlyFriendly,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcSpaceSPACE,check,Space,Space,okay
680,All,Space (Usage),Emergency Voice Communication System,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,EmergencyVoiceCommunicationSystem,Label,N.A,N.A,"1-way EVC System, 2-way EVC System, Public Address System",N.A,IfcSpaceSPACE,check,Space,Space,okay
681,All,Space (Usage),Fire Detection And Suppression System,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,FireDetectionAndSuppressionSystem,Label,N.A,N.A,"Automatic Fire Alarm System, Automatic Sprinkler System, Water Mist System, Video Image Fire Detector System, Kitchen Hood Fire Extinguishing System, Clean Agent Fire Extinguishing System, Automatic Foam Sprinkler System, Foam Extinguisher System",N.A,IfcSpaceSPACE,check,Space,Space,okay
682,All,Space (Usage),Fire Emergency Ventilation Mode,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,FireEmergencyVentilationMode,Label,N.A,N.A,"Natural Ventilation, Mechanical Ventilation, Pressurisation, Cross-ventilation, Cross-ventilation with Intermediate Ventilation Opening, Vapour Extraction System (for spray painting room)",N.A,IfcSpaceSPACE,check,Space,Space,okay
683,All,Space (Usage),Fire Exit,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,FireExit,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcSpaceSPACE,check,Space,Space,okay
684,All,Space (Usage),Fully Covered With Trees Shrubs,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,FullyCoveredWithTreesShrubs,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcSpaceSPACE,check,Space,Space,okay
685,All,Space (Usage),Hearing Enhancement,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,HearingEnhancement,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcSpaceSPACE,check,Space,Space,okay
686,All,Space (Usage),Height,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_SpaceDimension,Height,Length,mm,N.A,N.A,N.A,IfcSpaceSPACE,check,Space,Space,okay
687,All,Space (Usage),Larger Accessible,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,LargerAccessible,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcSpaceSPACE,check,Space,Space,okay
688,All,Space (Usage),Occupancy Load,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,OccupancyLoad,Real,N.A,N.A,N.A,N.A,IfcSpaceSPACE,check,Space,Space,okay
689,All,Space (Usage),Occupancy Type,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,OccupancyType,Label,N.A,N.A,Refer to Space Values sheet,N.A,IfcSpaceSPACE,check,Space,Space,okay
690,All,Space (Usage),Parking Type,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,ParkingType,Label,N.A,N.A,N.A,"Bicycle, Motorcycle",IfcSpaceSPACE,check,Space,Space,okay
691,All,Space (Usage),Purpose Group,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,PurposeGroup,Label,N.A,N.A,N.A,"I, II, III",IfcSpaceSPACE,check,Space,Space,okay
692,All,Space (Usage),Refuse Output,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,RefuseOutput,Real,N.A,N.A,N.A,"120, 200",IfcSpaceSPACE,check,Space,Space,okay
693,All,Space (Usage),Retrofit,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,Retrofit,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcSpaceSPACE,check,Space,Space,okay
694,All,Space (Usage),Smoke Control System,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,SmokeControlSystem,Label,N.A,N.A,"Smoke Vent, Smoke Purging System, Ductless Jet Fan System, Engineered Smoke Control System",N.A,IfcSpaceSPACE,check,Space,Space,okay
695,All,Space (Usage),Sound Power Level,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,SoundPowerLevel,Label,N.A,N.A,N.A,N.A,IfcSpaceSPACE,check,Space,Space,okay
696,All,Space (Usage),Sound Pressure Level,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,SoundPressureLevel,Label,N.A,N.A,N.A,N.A,IfcSpaceSPACE,check,Space,Space,okay
697,All,Space (Usage),Space Name,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,SpaceName,Label,N.A,N.A,Refer to Space Values sheet,N.A,IfcSpaceSPACE,check,Space,Space,okay
698,All,Space (Usage),Step Ramp Access,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,StepRampAccess,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcSpaceSPACE,check,Space,Space,okay
699,All,Space (Usage),24hr Manned Station,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,TwentyFourHourMannedStation,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcSpaceSPACE,check,Space,Space,okay
700,All,Space (Usage),Unit Number,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,UnitNumber,Label,N.A,N.A,N.A,N.A,IfcSpaceSPACE,check,Space,Space,okay
701,All,Space (Usage),Ventilation Mode,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,VentilationMode,Label,N.A,N.A,"Natural Ventilation, Air Conditioning, Mechanical Ventilation",N.A,IfcSpaceSPACE,check,Space,Space,okay
702,All,Space (Usage),Ventilation Type,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,VentilationType,Label,N.A,N.A,N.A,Cross Ventilation,IfcSpaceSPACE,check,Space,Space,okay
703,All,Space (Usage),Volume,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,Volume,Volume,m3,N.A,N.A,N.A,IfcSpaceSPACE,check,Space,Space,okay
704,NEA,Sprinkler (Non-Fire; for NEA),System Name,Sprinklers,Terminal,N.A,Sprinkler,MEP,IfcSanitaryTerminal,*SPRINKLER,SGPset_SanitaryTerminal,SystemName,Label,N.A,N.A,N.A,N.A,IfcSanitaryTerminalSPRINKLER,okay,SanitaryTerminal,SanitaryTerminal,okay
705,NEA,Sprinkler (Non-Fire; for NEA),System Type,Sprinklers,Terminal,N.A,Sprinkler,MEP,IfcSanitaryTerminal,*SPRINKLER,SGPset_SanitaryTerminal,SystemType,Label,N.A,N.A,N.A,N.A,IfcSanitaryTerminalSPRINKLER,okay,SanitaryTerminal,SanitaryTerminal,okay
706,SCDF,Staircase,Fire Exit,Stairs,Stair,Component,Stair,ARC,IfcStair,"CURVED_RUN_STAIR, SPIRAL_STAIR, STRAIGHT_RUN_STAIR, DOUBLE_RETURN_STAIR, HALF_TURN_STAIR, QUARTER_TURN_STAIR, THREE_QUARTER_TURN_STAIR",Pset_StairCommon,FireExit,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcStairCURVED_RUN_STAIR, SPIRAL_STAIR, STRAIGHT_RUN_STAIR, DOUBLE_RETURN_STAIR, HALF_TURN_STAIR, QUARTER_TURN_STAIR, THREE_QUARTER_TURN_STAIR",skip,Stair,Stair,okay
713,BCA,Staircase,N.A,Stairs,Stair,Component,Stair,ARC,IfcStairFlight,CURVED,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcStairFlightCURVED,check,StairFlight,#N/A,#N/A
714,BCA,Staircase,N.A,Stairs,Stair,Component,Stair,ARC,IfcStairFlight,SPIRAL,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcStairFlightSPIRAL,check,StairFlight,#N/A,#N/A
715,BCA,Staircase,N.A,Stairs,Stair,Component,Stair,ARC,IfcStairFlight,WINDER,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcStairFlightWINDER,check,StairFlight,#N/A,#N/A
716,BCA,Staircase,N.A,Stairs,Stair,Component,Stair,ARC,IfcStairFlight,STRAIGHT,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcStairFlightSTRAIGHT,check,StairFlight,#N/A,#N/A
717,BCA,Staircase,Riser Count,Stairs,Stair,Component,Stair,ARC,IfcStairFlight,N.A,Pset_StairFlightCommon,NumberOfRiser,Integer,N.A,N.A,N.A,N.A,IfcStairFlightN.A,skip,StairFlight,StairFlight,okay
718,BCA,Staircase,Riser Height,Stairs,Stair,Component,Stair,ARC,IfcStairFlight,N.A,Pset_StairFlightCommon,RiserHeight,Length,mm,N.A,N.A,N.A,IfcStairFlightN.A,skip,StairFlight,StairFlight,okay
719,BCA,Staircase,Tread Count,Stairs,Stair,Component,Stair,ARC,IfcStairFlight,N.A,Pset_StairFlightCommon,NumberOfTreads,Integer,N.A,N.A,N.A,N.A,IfcStairFlightN.A,skip,StairFlight,StairFlight,okay
720,SCDF,Staircase,Tread Length,Stairs,Stair,Component,Stair,ARC,IfcStairFlight,N.A,Pset_StairFlightCommon,TreadLength,Length,mm,N.A,N.A,N.A,IfcStairFlightN.A,skip,StairFlight,StairFlight,okay
721,BCA,Staircase,Material Grade,Stairs,Stair,Component,Stair,ARC,IfcStairFlight,N.A,SGPset_Material,MaterialGrade,Label,N.A,Name,"C12/15, C20/25, C30/37, C32/40, C35/45, C40/50, C50/60, C55/67, C60/75, C70/85, C80/95, S235, S275, S355, S460",N.A,IfcStairFlightN.A,skip,StairFlight,Material,check
722,BCA,Staircase,Construction Method,Stairs,Stair,Component,Stair,ARC,IfcStairFlight,N.A,SGPset_StairFlight,ConstructionMethod,Label,N.A,N.A,"CIS, PC, PT (Pre), PT (Post), PF, PPVC, Spun",N.A,IfcStairFlightN.A,skip,StairFlight,StairFlight,okay
723,BCA,Staircase,Space Name (for staircase core),Stairs,Stair,Component,Stair,ARC,IfcSpace,SPACE,SGPset_Space,SpaceName,Label,N.A,N.A,"external exit staircase, internal exit staircase, staircase",N.A,IfcSpaceSPACE,check,Space,Space,okay
724,BCA,Staircase,Bottom Distribution,Stairs,Stair,Component,Stair,STR,IfcStair,N.A,SGPset_StairReinforcement,BottomDistribution,Label,N.A,N.A,N.A,H25-150+H16-300,IfcStairN.A,skip,Stair,Stair,okay
725,BCA,Staircase,Bottom Main,Stairs,Stair,Component,Stair,STR,IfcStair,N.A,SGPset_StairReinforcement,BottomMain,Label,N.A,N.A,N.A,H25-150+H16-300,IfcStairN.A,skip,Stair,Stair,okay
726,BCA,Staircase,Connection Details Bottom,Stairs,Stair,Component,Stair,STR,IfcStair,N.A,SGPset_StairSteelConnection,ConnectionDetailsBottom,Label,N.A,N.A,N.A,Detail 1,IfcStairN.A,skip,Stair,Stair,okay
727,BCA,Staircase,Connection Details Top,Stairs,Stair,Component,Stair,STR,IfcStair,N.A,SGPset_StairSteelConnection,ConnectionDetailsTop,Label,N.A,N.A,N.A,Detail 1,IfcStairN.A,skip,Stair,Stair,okay
728,BCA,Staircase,Connection Type Bottom,Stairs,Stair,Component,Stair,STR,IfcStair,N.A,SGPset_StairSteelConnection,ConnectionTypeBottom,Label,N.A,N.A,"Pinned, Fixed, Free",N.A,IfcStairN.A,skip,Stair,Stair,okay
729,BCA,Staircase,Connection Type Top,Stairs,Stair,Component,Stair,STR,IfcStair,N.A,SGPset_StairSteelConnection,ConnectionTypeTop,Label,N.A,N.A,"Pinned, Fixed, Free",N.A,IfcStairN.A,skip,Stair,Stair,okay
