S/N,Agency,Identified Component,Identified parameters,Suggested Revit Representation,Suggested Archicad Representation,Suggested Tekla Structures Representation,Suggested Bentley OpenBuildings Representation,Suggested Discipline,"IFC4
 Entities","IFC Sub Types
(* = USERDEFINED)",Property Set,Property Name,Property Type,Property Unit,"IFC4
Material Set","Accepted Values 
(for parameters with Input Limitations)","Sample Value for Reference
(for parameters without Input Limitations)",,,,,
55,BCA,Column,Main Rebar,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_ColumnReinforcement,MainRebar,Label,N.A,N.A,N.A,6H32+6H25,IfcColumnN.A,skip,Column,Column,okay
56,BCA,Column,Mark,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_ColumnDimension,Mark,Label,N.A,N.A,N.A,"TC1, C1",IfcColumnN.A,skip,Column,Column,okay
57,BCA,Column,Material Grade,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_Material,MaterialGrade,Label,N.A,Name,"C12/15, C20/25, C30/37, C32/40, C35/45, C40/50, C50/60, C55/67, C60/75, C70/85, C80/95, S235, S275, S355, S460",N.A,IfcColumnN.A,skip,Column,Materi,check
58,BCA,Column,Mechanical Connection Type,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_Column,MechanicalConnectionType,Label,N.A,N.A,"column shoes, grouted sleeves, spiral connector",N.A,IfcColumnN.A,skip,Column,Column,okay
59,BCA,Column,Member Section,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_ColumnDimension,MemberSection,Label,N.A,N.A,N.A,"RHS600x30x4, CHS500x3.0, 254x254x63 kg/m",IfcColumnN.A,skip,Column,Column,okay
60,BCA,Column,Prefabricated Reinforcement Cage,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_ColumnReinforcement,PrefabricatedReinforcementCage,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcColumnN.A,skip,Column,Column,okay
61,BCA,Column,ReferTo2DDetail,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_Column,ReferTo2DDetail,Label,N.A,N.A,N.A,Dwg Number,IfcColumnN.A,skip,Column,Column,okay
62,BCA,Column,Reinforcement Steel Grade,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_Column,ReinforcementSteelGrade,Label,N.A,N.A,"500A, 500B, 500C, 600A, 600B, 600C",N.A,IfcColumnN.A,skip,Column,Column,okay
63,BCA,Column,Section Fabrication Method,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_Column,SectionFabricationMethod,Label,N.A,N.A,"Hot rolled, Cold formed",N.A,IfcColumnN.A,skip,Column,Column,okay
64,BCA,Column,Splice Detail,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_SteelConnection,SpliceDetail,Label,N.A,N.A,N.A,Detail 3,IfcColumnN.A,skip,Column,SteelC,check
65,BCA,Column,Starting Storey,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_ColumnDimension,StartingStorey,Label,N.A,N.A,N.A,"1st Storey, Lower Roof Storey",IfcColumnN.A,skip,Column,Column,okay
66,BCA,Column,Stirrups,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_ColumnReinforcement,Stirrups,Label,N.A,N.A,N.A,4H13-300,IfcColumnN.A,skip,Column,Column,okay
67,BCA,Column,Stirrups Type,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_ColumnReinforcement,StirrupsType,Label,N.A,N.A,"Normal, U, C, CL, Torsion",N.A,IfcColumnN.A,skip,Column,Column,okay
68,BCA,Column,Width,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_ColumnDimension,Width,Length,mm,N.A,N.A,600,IfcColumnN.A,skip,Column,Column,okay
69,BCA,Column,Working Load DA1-1,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_ColumnStructuralLoad,WorkingLoad_DA1-1,Integer,kN,N.A,N.A,1234,IfcColumnN.A,skip,Column,Column,okay
70,BCA,Column,Working Load DA1-2,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_ColumnStructuralLoad,WorkingLoad_DA1-2,Integer,kN,N.A,N.A,1234,IfcColumnN.A,skip,Column,Column,okay
71,NEA,Control Element,Flushing,Electrical Equipment,Flow Equipment,N.A,Equipment,MEP,IfcUnitaryControlElement,CONTROLPANEL,SGPset_UnitaryControlElement,PWCS_Flushing,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcUnitaryControlElementCONTROLPANEL,check,UnitaryControlElement,UnitaryControlElement,okay
72,SCDF,Control Element,Purpose,Electrical Equipment,Flow Equipment,N.A,Equipment,MEP,IfcUnitaryControlElement,CONTROLPANEL,SGPset_UnitaryControlElement,Purpose,Label,N.A,N.A,N.A,"Main Panel, Sub Panel",IfcUnitaryControlElementCONTROLPANEL,check,UnitaryControlElement,UnitaryControlElement,okay
73,All,Culvert/ Drains,N.A,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,*COMMONDRAIN,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcCivilElementCOMMONDRAIN,skip,CivilElement,#N/A,#N/A
74,All,Culvert/ Drains,N.A,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,*CROSSCULVERT,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcCivilElementCROSSCULVERT,skip,CivilElement,#N/A,#N/A
75,All,Culvert/ Drains,N.A,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,*CULVERT,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcCivilElementCULVERT,skip,CivilElement,#N/A,#N/A
76,All,Culvert/ Drains,N.A,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,*ENTRANCECULVERT,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcCivilElementENTRANCECULVERT,skip,CivilElement,#N/A,#N/A
77,All,Culvert/ Drains,N.A,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,*EXTERNALDRAIN,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcCivilElementEXTERNALDRAIN,skip,CivilElement,#N/A,#N/A
78,All,Culvert/ Drains,N.A,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,*INTERNALDRAIN,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcCivilElementINTERNALDRAIN,skip,CivilElement,#N/A,#N/A
79,All,Culvert/ Drains,N.A,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,*OUTLETDRAIN,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcCivilElementOUTLETDRAIN,skip,CivilElement,#N/A,#N/A
80,All,Culvert/ Drains,N.A,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,*ROADSIDEDRAIN,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcCivilElementROADSIDEDRAIN,skip,CivilElement,#N/A,#N/A
81,All,Culvert/ Drains,N.A,Generic Models,Object,"Slab, Panel",Drains&Basins,MEP,IfcCivilElement,*TRENCH,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcCivilElementTRENCH,skip,CivilElement,#N/A,#N/A
